Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
fmi,NL,2350,1421,217.23.7.103,backup.fast4you.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2015-02-27,WORLDSTREAM- NL,49981,6580,None
foertel2,DE,23434,1005,93.186.200.144,exit2.foertel.com,9001,80,0,0,1,0,0,1,1,1,1,Tor 0.3.5.7 on Linux,0,0,2018-07-10,MYLOC-AS- DE,24961,67100,[2001:4ba0:cafe:9fd::1]:9001
fogbank,CH,43,2006,77.109.165.36,phobos.darkpackets.org,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on OpenBSD,0,0,2014-10-07,INIT7- CH,13030,73,[2001:1620:ad1::36]:9001
foghorn,IT,556,591,192.71.245.137,mail.noveldatasolutions.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2014-04-30,PDDA-AS- IT,34971,1380,[2a00:dcc0:eda:88:245:71:1b13:d10f]:9001
Foo,US,36,32,67.185.177.181,c-67-185-177-181.hsd1.wa.comcast.net,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.9.16 on Linux,0,0,2018-12-21,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,430,None
FoobarFritz,DE,3134,42,91.40.117.173,p5B2875AD.dip0.t-ipconnect.de,9001,9002,0,0,1,0,0,0,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-04-11,DTAG Internet service provider operations- DE,3320,13200,None
foolzeboodle,CA,1622,613,45.62.212.242,45.62.212.242,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-12-14,CANAD-86-31798 - DataCity- CA,31798,5600,None
fooryang,JP,16,1919,139.162.112.190,li1596-190.members.linode.com,9301,None,0,0,1,0,0,1,1,1,0,Tor 0.4.0.5 on Linux,0,0,2019-07-27,LINODE-AP Linode- LLC- US,63949,160,None
ForAFewOnionsMore,N/A,74,265,102.130.113.51,102.130.113.51,443,None,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-07-26,HETZNER- ZA,37153,309,None
foreach,US,28,4367,104.207.149.101,104.207.149.101.vultr.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2018-12-03,AS-CHOOPA - Choopa- LLC- US,20473,93,None
